cik,ticker,name,cik_s
1613103,MDT,Medtronic plc,0001613103
1364742,BLK,"BlackRock, Inc.",0001364742
896878,INTU,INTUIT INC.,0000896878
1140625,EQNR,Equinor ASA,0001140625
1668717,BUD,Anheuser-Busch InBev SANV,0001668717
835403,DEO,DIAGEO plc,0000835403
1739940,CI,The Cigna Group,0001739940
313838,SONY,SONY GROUP CORPORATION,0000313838
8670,ADP,"AUTOMATIC DATA PROCESSING, INC.",0000008670
1053507,AMT,AMERICAN TOWER CORPORATION,0001053507
896159,CB,CHUBB LIMITED,0000896159
109198,TJX,"The TJX Companies, Inc.",0000109198
1035267,ISRG,"Intuitive Surgical, Inc.",0001035267
310764,SYK,STRYKER CORP,0000310764
1001250,EL,Estee Lauder Companies Inc,0001001250
831001,C,Citigroup Inc,0000831001
1103982,MDLZ,"Mondelez International, Inc.",0001103982
1303523,BTI,British American Tobacco p.l.c.,0001303523
67088,MUFG,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",0000067088
1633917,PYPL,"PayPal Holdings, Inc.",0001633917
1075531,BKNG,Booking Holdings Inc.,0001075531
6951,AMAT,APPLIED MATERIALS INC DE,0000006951
1131399,GSK,GSK plc,0001131399
62709,MMC,"Marsh & McLennan Companies, Inc.",0000062709
16868,CNI,CANADIAN NATIONAL RAILWAY COMPANY,0000016868
1045609,PLD,"Prologis, Inc.",0001045609
764180,MO,"ALTRIA GROUP, INC.",0000764180
1133421,NOC,NORTHROP GRUMMAN CORP DE,0001133421
917851,VALE,VALE S.A.,0000917851
6281,ADI,"Analog Devices, Inc.",0000006281
64040,SPGI,S&P Global Inc.,0000064040
895728,ENB,ENBRIDGE INC.,0000895728
1326160,DUK,DUKE ENERGY CORPORATION,0001326160
40545,GE,General Electric Co,0000040545
860730,HCA,"HCA Healthcare, Inc.",0000860730
872589,REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589
80661,PGR,PROGRESSIVE CORPOH,0000080661
1067491,INFY,INFOSYS LIMITED,0001067491
2488,AMD,"ADVANCED MICRO DEVICES, INC",0000002488
92122,SO,The Southern Company,0000092122
27419,TGT,TARGET CORPORATION,0000027419
87347,SLB,SCHLUMBERGER LIMITEDNV,0000087347
875320,VRTX,VERTEX PHARMACEUTICALS INC  MA,0000875320
1373715,NOW,"SERVICENOW, INC.",0001373715
821189,EOG,"EOG RESOURCES, INC.",0000821189
10795,BDX,"Becton, Dickinson and Company",0000010795
1510295,MPC,Marathon Petroleum Corporation,0001510295
66740,MMM,3M COMPANY,0000066740
1682852,MRNA,"Moderna, Inc.",0001682852
16875,CP,CANADIAN PACIFIC KANSAS CITY  LTDCN,0000016875
1555280,ZTS,Zoetis Inc.,0001555280
49826,ITW,ILLINOIS TOOL WORKS INC,0000049826
277948,CSX,CSX CORPORATION,0000277948
40533,GD,GENERAL DYNAMICS CORPORATION,0000040533
36104,USB,US BANCORP \DE\,0000036104
1610520,UBS,UBS Group AG,0001610520
713676,PNC,"PNC Financial Services Group, Inc.",0000713676
2969,APD,"AIR PRODUCTS AND CHEMICALS, INC.",0000002969
21665,CL,COLGATE-PALMOLIVE COMPANY,0000021665
315293,AON,Aon plc,0000315293
1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,0001119639
798354,FISV,"FISERV, INC.",0000798354
885725,BSX,BOSTON SCIENTIFIC CORPORATION,0000885725
1091667,CHTR,"Charter Communications, Inc.",0001091667
823768,WM,"Waste Management, Inc",0000823768
1372920,EDU,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,0001372920
49071,HUM,HUMANA INC,0000049071
1551182,ETN,EATON CORPORATION plc,0001551182
723125,MU,"Micron Technology, Inc.",0000723125
1017413,CNQ,CANADIAN NATURAL RESOURCES LIMITED,0001017413
1099219,MET,"MetLife, Inc.",0001099219
1156375,CME,CME GROUP INC.,0001156375
1051470,CCI,CROWN CASTLE INC.,0001051470
702165,NSC,NORFOLK SOUTHERN CORPORATION,0000702165
927971,BMO,BANK OF MONTREAL,0000927971
718877,ATVI,"ACTIVISION BLIZZARD, INC.",0000718877
89800,SHW,THE SHERWIN-WILLIAMS COMPANY,0000089800
9631,BNS,BANK OF NOVA SCOTIA,0000009631
1101239,EQIX,"EQUINIX, INC.",0001101239
1091587,ABB,ABB Ltd,0001091587
92230,TFC,TRUIST FINANCIAL CORPORATION,0000092230
707549,LRCX,LAM RESEARCH CORPORATION,0000707549
831259,FCX,Freeport-McMoRan Inc.,0000831259
797468,OXY,OCCIDENTAL PETROLEUM CORPORATION,0000797468
1571949,ICE,"INTERCONTINENTAL EXCHANGE, INC.",0001571949
1652044,GOOGL,Alphabet Inc.,0001652044
927653,MCK,McKESSON CORPORATION,0000927653
29534,DG,DOLLAR GENERAL CORPORATION,0000029534
319201,KLAC,KLA CORPORATION,0000319201
32604,EMR,Emerson Electric Co.,0000032604
1110646,NTES,"NETEASE, INC.",0001110646
898173,ORLY,O Reilly Automotive Inc,0000898173
1075124,TRI,THOMSON REUTERS CORPORATION,0001075124
1559720,ABNB,"Airbnb, Inc.",0001559720
1038357,PXD,PIONEER NATURAL RESOURCES CO,0001038357
1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",0001022837
30554,CTA-PA,DUPONT E I DE NEMOURS & CO,0000030554
1393818,BX,Blackstone Inc.,0001393818
1648416,RACE,Ferrari N.V.,0001648416
1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,0001061219
929869,RELX,RELX PLC,0000929869
865752,MNST,MONSTER BEVERAGE CORPORATION,0000865752
891478,SAN,"BANCO SANTANDER, S.A.",0000891478
1035002,VLO,VALERO ENERGY CORPTX,0001035002
1002242,E,Eni SpA,0001002242
1059556,MCO,Moody’s Corporation,0001059556
1124610,VMW,"VMWARE, INC.",0001124610
40704,GIS,"GENERAL MILLS, INC.",0000040704
1467858,GM,GENERAL MOTORS COMPANY,0001467858
1637459,KHC,Kraft Heinz Co,0001637459
1001838,SCCO,SOUTHERN COPPER CORP,0001001838
1418135,KDP,Keurig Dr Pepper Inc.,0001418135
866787,AZO,AUTOZONE INC,0000866787
715957,D,"DOMINION ENERGY, INC.",0000715957
1543151,UBER,"UBER TECHNOLOGIES, INC.",0001543151
37996,F,Ford Motor Co,0000037996
1032208,SRE,SEMPRA ENERGY,0001032208
1048286,MAR,MARRIOTT INTERNATIONAL INC MD,0001048286
1039765,ING,ING GROEP NV,0001039765
883241,SNPS,"SYNOPSYS, INC.",0000883241
4904,AEP,AMERICAN ELECTRIC POWER CO INC.,0000004904
1395064,TAK,Takeda Pharmaceutical Company Limited,0001395064
1048911,FDX,FedEx Corporation,0001048911
1393311,PSA,Public Storage,0001393311
1605484,STLA,Stellantis N.V.,0001605484
5272,AIG,"American International Group, Inc.",0000005272
1099800,EW,EDWARDS LIFESCIENCES CORPORATION,0001099800
7084,ADM,ARCHER-DANIELS-MIDLAND CO,0000007084
86312,TRV,"Travelers Companies, Inc.",0000086312
882835,ROP,"ROPER TECHNOLOGIES, INC.",0000882835
47111,HSY,HERSHEY CO,0000047111
820313,APH,AMPHENOL CORPORATION,0000820313
833444,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,0000833444
55785,KMB,KIMBERLY-CLARK CORPORATION,0000055785
4977,AFL,Aflac Incorporated,0000004977
1534701,PSX,Phillips 66,0001534701
1071739,CNC,CENTENE CORPORATION,0001071739
1090872,A,"AGILENT TECHNOLOGIES, INC.",0001090872
1132597,ITUB,Itau Unibanco Holding S.A.,0001132597
723254,CTAS,Cintas Corporation,0000723254
1004315,NGG,NATIONAL GRID PLC,0001004315
1222333,GLD,SPDR® GOLD TRUST,0001222333
311337,SU,SUNCOR ENERGY INC,0000311337
4447,HES,HESS CORPORATION,0000004447
813672,CDNS,"CADENCE DESIGN SYSTEMS, INC.",0000813672
1099590,MELI,"MercadoLibre, Inc.",0001099590
68505,MSI,"MOTOROLA SOLUTIONS, INC.",0000068505
1755672,CTVA,"Corteva, Inc.",0001755672
842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",0000842180
1725964,NTR,NUTRIEN LTD.,0001725964
1565025,ABEV,AMBEV S.A.,0001565025
1018724,AMZN,"AMAZON.COM, INC.",0001018724
1397187,LULU,lululemon athletica inc.,0001397187
1109357,EXC,EXELON CORPORATION,0001109357
745732,ROST,"Ross Stores, Inc.",0000745732
1136893,FIS,"Fidelity National Information Services, Inc.",0001136893
31462,ECL,ECOLAB INC.,0000031462
1160106,LYG,LLOYDS BANKING GROUP plc,0001160106
1506307,KMI,"KINDER MORGAN, INC.",0001506307
723531,PAYX,"Paychex, Inc.",0000723531
1466258,TT,TRANE TECHNOLOGIES PLC,0001466258
1164727,NEM,NEWMONT CORPORATION,0001164727
1413447,NXPI,NXP Semiconductors N.V.,0001413447
1090012,DVN,DEVON ENERGY CORPDE,0001090012
718940,BCE,BCE INC.,0000718940
202058,LHX,"L3HARRIS TECHNOLOGIES, INC.",0000202058
1327811,WDAY,"WORKDAY, INC.",0001327811
927628,COF,CAPITAL ONE FINANCIAL CORP,0000927628
899051,ALL,ALLSTATE CORP,0000899051
1116578,PUK,PRUDENTIAL PLC,0001116578
875045,BIIB,BIOGEN INC.,0000875045
715153,HMC,"HONDA MOTOR CO., LTD.",0000715153
1060391,RSG,"REPUBLIC SERVICES, INC.",0001060391
1478242,IQV,IQVIA HOLDINGS INC.,0001478242
1300514,LVS,LAS VEGAS SANDS CORP.,0001300514
769397,ADSK,"AUTODESK, INC.",0000769397
73309,NUE,NUCOR CORPORATION,0000073309
1751788,DOW,Dow Inc.,0001751788
16918,STZ,"CONSTELLATION BRANDS, INC.",0000016918
96021,SYY,Sysco Corporation,0000096021
1390777,BK,THE BANK OF NEW YORK MELLON CORPORATION,0001390777
107263,WMB,"WILLIAMS COMPANIES, INC.",0000107263
354190,AJG,ARTHUR J. GALLAGHER & CO.,0000354190
1063761,SPG,"SIMON PROPERTY GROUP, INC.",0001063761
1058090,CMG,"CHIPOTLE MEXICAN GRILL, INC.",0001058090
827054,MCHP,MICROCHIP TECHNOLOGY INCORPORATED,0000827054
76334,PH,PARKER-HANNIFIN CORPORATION,0000076334
1276187,ET,ENERGY TRANSFER LP,0001276187
1385157,TEL,TE CONNECTIVITY LTD.,0001385157
1408198,MSCI,MSCI INC.,0001408198
1232384,TRP,TC ENERGY CORPORATION,0001232384
1858681,APO,"APOLLO GLOBAL MANAGEMENT, INC.",0001858681
1137774,PRU,"Prudential Financial, Inc.",0001137774
1041061,YUM,"YUM! BRANDS, INC.",0001041061
72903,XEL,XCEL ENERGY INC,0000072903
1640147,SNOW,SNOWFLAKE INC.,0001640147
1475260,CVE,CENOVUS ENERGY INC.,0001475260
1666700,DD,"DUPONT DE NEMOURS, INC.",0001666700
3570,LNG,"CHENIERE ENERGY, INC.",0000003570
1335730,MFG,"Mizuho Financial Group, Inc.",0001335730
1783180,CARR,CARRIER GLOBAL CORPORATION,0001783180
726728,O,REALTY INCOME CORPORATION,0000726728
874716,IDXX,IDEXX LABORATORIES INC DE,0000874716
1585689,HLT,Hilton Worldwide Holdings Inc.,0001585689
1776985,BNTX,BioNTech SE,0001776985
712515,EA,ELECTRONIC ARTS INC.,0000712515
1004980,PCG,PG&E CORP,0001004980
1260221,TDG,TransDigm Group Incorporated,0001260221
312069,BCS,Barclays PLC,0000312069
45012,HAL,HALLIBURTON COMPANY,0000045012
820027,AMP,"AMERIPRISE FINANCIAL, INC.",0000820027
1167379,ALC,Alcon Inc.,0001167379
1037646,MTD,Mettler Toledo International Inc,0001037646
1781335,OTIS,OTIS WORLDWIDE CORPORATION,0001781335
75362,PCAR,PACCAR Inc,0000075362
1318220,WCN,"WASTE CONNECTIONS, INC.",0001318220
26172,CMI,CUMMINS INC.,0000026172
1278680,IAU,ISHARES GOLD TRUST,0001278680
1047862,ED,"Consolidated Edison, Inc.",0001047862
1596532,ANET,"Arista Networks, Inc.",0001596532
1552000,MPLX,MPLX LP,0001552000
756894,GOLD,BARRICK GOLD CORP,0000756894
56873,KR,THE KROGER CO.,0000056873
1140859,ABC,AMERISOURCEBERGEN CORP,0001140859
882184,DHI,"D.R. Horton, Inc.",0000882184
932787,STM,STMicroelectronics N.V.,0000932787
849395,CRH,CRH PUBLIC LTD CO,0000849395
1463101,ENPH,"Enphase Energy, Inc.",0001463101
49938,IMO,IMPERIAL OIL LIMITED,0000049938
878927,ODFL,"OLD DOMINION FREIGHT LINE, INC.",0000878927
935703,DLTR,"DOLLAR TREE, INC.",0000935703
1037868,AME,"AMETEK, Inc.",0001037868
1110803,ILMN,"Illumina, Inc.",0001110803
1043219,NLY,ANNALY CAPITAL MANAGEMENT INC,0001043219
1571996,DELL,Dell Technologies Inc.,0001571996
1601046,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",0001601046
788784,PEG,Public Service Enterprise Group Incorporated,0000788784
1034054,SBAC,SBA COMMUNICATIONS CORPORATION,0001034054
1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,0001058290
1618921,WBA,"WALGREENS BOOTS ALLIANCE, INC.",0001618921
1024478,ROK,"Rockwell Automation, Inc.",0001024478
1381197,IBKR,"INTERACTIVE BROKERS GROUP, INC.",0001381197
943819,RMD,ResMed Inc.,0000943819
1512673,SQ,"Block, Inc.",0001512673
14693,BF-B,Brown-Forman Corporation,0000014693
1832433,FERG,Ferguson plc,0001832433
1123360,GPN,GLOBAL PAYMENTS INC,0001123360
1057352,CSGP,"CoStar Group, Inc.",0001057352
47217,HPQ,HP INC.,0000047217
24741,GLW,CORNING INC NY,0000024741
766704,WELL,WELLTOWER INC.,0000766704
1835632,MRVL,"MARVELL TECHNOLOGY, INC",0001835632
79879,PPG,PPG INDUSTRIES INC,0000079879
1393612,DFS,DISCOVER FINANCIAL SERVICES,0001393612
783325,WEC,"WEC ENERGY GROUP, INC.",0000783325
1489393,LYB,LYONDELLBASELL INDUSTRIES N.V.,0001489393
1039684,OKE,"ONEOK, Inc.",0001039684
72741,ES,EVERSOURCE ENERGY,0000072741
93751,STT,STATE STREET CORPORATION,0000093751
839923,VOD,VODAFONE GROUP PUBLIC LTD CO,0000839923
1132924,CHT,"Chunghwa Telecom Co., Ltd.",0001132924
1442145,VRSK,"Verisk Analytics, Inc.",0001442145
920760,LEN,LENNAR CORP NEW,0000920760
1350102,ASTI,"Ascent Solar Technologies, Inc.",0001350102
1410636,AWK,"AMERICAN WATER WORKS COMPANY, INC.",0001410636
1297996,DLR,"DIGITAL REALTY TRUST, INC.",0001297996
1404912,KKR,KKR & CO. INC.,0001404912
277135,GWW,"W.W. Grainger, Inc.",0000277135
1834584,CPNG,"COUPANG, INC.",0001834584
1038143,ORAN,ORANGE,0001038143
51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253
1709048,GFS,GLOBALFOUNDRIES Inc.,0001709048
1178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",0001178670
1065088,EBAY,eBay Inc.,0001065088
1456346,FNV,Franco-Nevada Corporation,0001456346
749251,IT,"Gartner, Inc.",0000749251
868675,TU,TELUS CORP,0000868675
815556,FAST,FASTENAL CO,0000815556
924613,NOK,Nokia Corp,0000924613
1403568,ULTA,"ULTA BEAUTY, INC.",0001403568
1383650,CQP,"Cheniere Energy Partners, L.P.",0001383650
1067701,URI,"United Rentals, Inc.",0001067701
1160330,BBD,BANK BRADESCO,0001160330
1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869
10456,BAX,BAXTER INTERNATIONAL INC.,0000010456
1138118,CBRE,"CBRE GROUP, INC.",0001138118
874766,HIG,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",0000874766
1521332,APTV,APTIV PLC,0001521332
1651308,BGNE,"BEIGENE, LTD.",0001651308
1650107,CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,0001650107
1097864,ON,ON SEMICONDUCTOR CORPORATION,0001097864
1492426,HZNP,Horizon Therapeutics Public Ltd Co,0001492426
915913,ALB,ALBEMARLE CORPORATION,0000915913
1159508,DB,Deutsche Bank Aktiengesellschaft,0001159508
1243429,MT,ARCELORMITTAL,0001243429
1123799,WIT,WIPRO LIMITED,0001123799
2809,AEM,AGNICO EAGLE MINES LIMITED,0000002809
1701605,BKR,Baker Hughes Company,0001701605
916365,TSCO,TRACTOR SUPPLY CO DE,0000916365
48465,HRL,HORMEL FOODS CORPORATION,0000048465
1060736,SGEN,SEAGEN INC.,0001060736
1673358,YUMC,"Yum China Holdings, Inc.",0001673358
1113169,TROW,PRICE T ROWE GROUP INC,0001113169
1393052,VEEV,Veeva Systems Inc.,0001393052
827052,EIX,EDISON INTERNATIONAL,0000827052
1269238,TCOM,Trip.com Group Limited,0001269238
1539838,FANG,"Diamondback Energy, Inc.",0001539838
33185,EFX,EQUIFAX INC,0000033185
1402057,CDW,CDW CORP,0001402057
55067,K,KELLOGG COMPANY,0000055067
40987,GPC,GENUINE PARTS CO,0000040987
1031296,FE,FIRSTENERGY CORP.,0001031296
100493,TSN,"TYSON FOODS, INC.",0000100493
908937,SIRI,SIRIUS XM HOLDINGS INC.,0000908937
1396009,VMC,VULCAN MATERIALS COMPANY,0001396009
947484,ACGL,ARCH CAPITAL GROUP LTD.,0000947484
1677250,ZTO,ZTO Express (Cayman) Inc.,0001677250
920148,LH,LABORATORY CORPORATION OF AMERICA HOLDINGS,0000920148
1659166,FTV,Fortive Corporation,0001659166
106535,WY,WEYERHAEUSER COMPANY,0000106535
35527,FITB,FIFTH THIRD BANCORP,0000035527
936340,DTE,DTE Energy Co,0000936340
63754,MKC,MCCORMICK & CO INC,0000063754
27904,DAL,"DELTA AIR LINES, INC.",0000027904
909037,SQM,CHEMICAL & MINING CO OF CHILE INC,0000909037
1126328,PFG,"PRINCIPAL FINANCIAL GROUP, INC",0001126328
16988,CAJ,CANON INC,0000016988
1002910,AEE,Ameren Corporation,0001002910
1014473,VRSN,VERISIGN INCCA,0001014473
1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",0001035443
720005,RJF,"RAYMOND JAMES FINANCIAL, INC.",0000720005
915912,AVB,"AVALONBAY COMMUNITIES, INC.",0000915912
922224,PPL,PPL Corporation,0000922224
1671933,TTD,"TRADE DESK, INC.",0001671933
1567094,CNHI,CNH INDUSTRIAL N.V.,0001567094
1535527,CRWD,"CROWDSTRIKE HOLDINGS, INC.",0001535527
1699150,IR,Ingersoll Rand Inc.,0001699150
721371,CAH,"Cardinal Health, Inc.",0000721371
906107,EQR,EQUITY RESIDENTIAL,0000906107
814052,TEF,"TELEFONICA, S.A.",0000814052
1645590,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,0001645590
1000697,WAT,Waters Corporation,0001000697
916076,MLM,"MARTIN MARIETTA MATERIALS, INC.",0000916076
49196,HBAN,Huntington Bancshares Incorporated,0000049196
1444406,EC,ECOPETROL S.A.,0001444406
65984,ETR,ENTERGY CORPORATION,0000065984
1281761,RF,Regions Financial Corporation,0001281761
313927,CHD,"CHURCH & DWIGHT CO., INC.",0000313927
1618756,QSR,RESTAURANT BRANDS INTERNATIONAL INC.,0001618756
1013462,ANSS,"ANSYS, Inc.",0001013462
101778,MRO,Marathon Oil Corporation,0000101778
92380,LUV,SOUTHWEST AIRLINES CO.,0000092380
1561550,DDOG,"Datadog, Inc.",0001561550
1705696,VICI,VICI Properties Inc.,0001705696
1145197,PODD,INSULET CORPORATION,0001145197
1048477,BMRN,BioMarin Pharmaceutical Inc,0001048477
764478,BBY,"BEST BUY CO., INC.",0000764478
1022671,STLD,"Steel Dynamics, Inc",0001022671
1585521,ZM,"Zoom Video Communications, Inc.",0001585521
859737,HOLX,"HOLOGIC, INC",0000859737
1697862,ARGX,ARGENX SE,0001697862
1190723,TS,Tenaris SA,0001190723
1524472,XYL,Xylem Inc.,0001524472
29905,DOV,DOVER Corp,0000029905
1050915,PWR,"Quanta Services, Inc.",0001050915
46619,HEI,HEICO CORPORATION,0000046619
858470,CTRA,COTERRA ENERGY INC.,0000858470
23217,CAG,CONAGRA BRANDS INC.,0000023217
1038683,RYAAY,Ryanair Holdings plc,0001038683
1319161,WMG,Warner Music Group Corp.,0001319161
1666175,FTS,FORTIS INC.,0001666175
73124,NTRS,NORTHERN TRUST CORPORATION,0000073124
1070304,IX,ORIX Corporation,0001070304
1022079,DGX,Quest Diagnostics Inc,0001022079
63271,PCRFY,PANASONIC CORP,0000063271
1323404,WPM,WHEATON PRECIOUS METALS CORP.,0001323404
1289490,EXR,EXTRA SPACE STORAGE INC.,0001289490
36270,MTB,M&T BANK CORPORATION,0000036270
1041792,ELP,ENERGY CO OF PARANA,0001041792
1757898,STE,STERIS plc,0001757898
940944,DRI,"DARDEN RESTAURANTS, INC.",0000940944
740260,VTR,"Ventas, Inc.",0000740260
943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,0000943452
1094285,TDY,TELEDYNE TECHNOLOGIES INC,0001094285
1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE,0001045520
1096343,MKL,MARKEL CORPORATION,0001096343
1546066,PBA,PEMBINA PIPELINE CORPORATION,0001546066
1121788,GRMN,GARMIN LTD,0001121788
811156,CMS,CMS ENERGY CORPORATION,0000811156
1748790,AMCR,AMCOR PLC,0001748790
1130310,CNP,"CenterPoint Energy, Inc.",0001130310
29989,OMC,OMNICOM GROUP INC.,0000029989
1324404,CF,"CF INDUSTRIES HOLDINGS, INC.",0001324404
749098,MGA,Magna International Inc.,0000749098
84839,ROL,"ROLLINS, INC.",0000084839
1352010,EPAM,"EPAM SYSTEMS, INC.",0001352010
746515,EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",0000746515
728535,JBHT,"J.B. HUNT TRANSPORT SERVICES, INC.",0000728535
879169,INCY,INCYTE CORPORATION,0000879169
1590955,PAYC,"Paycom Software, Inc.",0001590955
1397911,LPLA,LPL Financial Holdings Inc.,0001397911
912595,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",0000912595
31791,PKI,"REVVITY, INC",0000031791
1601712,SYF,SYNCHRONY FINANCIAL,0001601712
21076,CLX,THE CLOROX COMPANY,0000021076
1179929,MOH,"MOLINA HEALTHCARE, INC.",0001179929
1315098,RBLX,Roblox Corporation,0001315098
1097149,ALGN,"ALIGN TECHNOLOGY, INC.",0001097149
105770,WST,"WEST PHARMACEUTICAL SERVICES, INC.",0000105770
874761,AES,THE AES CORPORATION,0000874761
91419,SJM,The J. M. Smucker Company,0000091419
759944,CFG,CITIZENS FINANCIAL GROUP INCRI,0000759944
20286,CINF,CINCINNATI FINANCIAL CORPORATION,0000020286
832101,IEX,IDEX CORP,0000832101
1687229,INVH,Invitation Homes Inc.,0001687229
1754301,FOXA,FOX CORPORATION,0001754301
16732,CPB,CAMPBELL SOUP CO,0000016732
1015922,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD.,0001015922
4281,HWM,Howmet Aerospace Inc.,0000004281
711404,COO,"The Cooper Companies, Inc.",0000711404
1511737,UI,UBIQUITI INC.,0001511737
91576,KEY,KeyCorp,0000091576
1802768,RPRX,Royalty Pharma plc,0001802768
1634997,AGR,"Avangrid, Inc.",0001634997
889132,PKX,POSCO HOLDINGS INC.,0000889132
1285785,MOS,MOSAIC CO,0001285785
789570,MGM,MGM Resorts International,0000789570
814547,FICO,FAIR ISAAC CORPORATION,0000814547
1033767,UMC,United Microelectronics Corporation,0001033767
1445930,KB,KB Financial Group Inc.,0001445930
1389170,TRGP,TARGA RESOURCES CORP.,0001389170
912593,SUI,"SUN COMMUNITIES, INC",0000912593
1060955,ICLR,ICON plc,0001060955
1792789,DASH,"DOORDASH, INC.",0001792789
